question_name,question_body,q_calculator,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Sequences,Write the first term of the following sequence:       3n – 7,FALSE,,,1,3,GFA2LC1TDQ1,GFA2LC1,GFA2TDQ
Sequences,"Find the nth term rule for the following:      11,  9,   7,   5,   3,   1,   -1",FALSE,,,1,4,GFA2LC1TDQ2,GFA2LC1,GFA2TDQ
Sequences,Write the first terms of the following sequence:       n² – 1,FALSE,,,1,3,GFA2LC1TSQ1,GFA2LC1,GFA2TSQ
Sequences,"Find the nth term rule for the following:    12,   8,   4,   0…",FALSE,,,1,4,GFA2LC1TSQ2,GFA2LC1,GFA2TSQ
Straight-line graphs ,Complete the missing value in the table,FALSE,,/quiz/questions/images_a2/GFA2LC2TDQ1.png,1,3,GFA2LC2TDQ1,GFA2LC2,GFA2TDQ
Straight-line graphs ,What is the  gradient in the following equation:       y = 2 – 3x,FALSE,,,1,4,GFA2LC2TDQ2,GFA2LC2,GFA2TDQ
Straight-line graphs ,Calculating the Equation of a Line,FALSE,,/quiz/questions/images_a2/GFA2LC2TDQ3.png,1,5,GFA2LC2TDQ3,GFA2LC2,GFA2TDQ
Straight-line graphs ,Complete the missing value in the table,FALSE,,/quiz/questions/images_a2/GFA2LC2TSQ1.png,1,3,GFA2LC2TSQ1,GFA2LC2,GFA2TSQ
Straight-line graphs ,"What is the  equations of the line with the following gradient and y–intercept :      Gradient = –2      y-intercept = (0, –7)",FALSE,,,1,4,GFA2LC2TSQ2,GFA2LC2,GFA2TSQ
Straight-line graphs ,Calculating the Equation of a Line,FALSE,,/quiz/questions/images_a2/GFA2LC2TSQ3.png,1,5,GFA2LC2TSQ3,GFA2LC2,GFA2TSQ
Simultaneous Equations,Solve the following simultaneous equations:   5x + y = 22   :      2x – y =  6,FALSE,,,1,5,GFA2LC3TDQ1,GFA2LC3,GFA2TDQ
Simultaneous Equations,Solve the following simultaneous equations:           3x  -  2y = 7      :           5x  + 3y = 37,FALSE,,,1,5,GFA2LC3TDQ2,GFA2LC3,GFA2TDQ
Simultaneous Equations,Solve the following simultaneous equations:     6x + y =  15     :     4x + y = 11,FALSE,,,1,5,GFA2LC3TSQ1,GFA2LC3,GFA2TSQ
Simultaneous Equations,Solve the following simultaneous equations:                 4x - 2y = 8          :       3x +  6y = 21,FALSE,,,1,5,GFA2LC3TSQ2,GFA2LC3,GFA2TSQ
