question_name,question_body,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Times and Timetables,Convert 1.25 hr into hours and minutes ,,,1,2,GFRMLC1TDQ1,GFRMLC1,GFRMTDQ
Times and Timetables,Convert 35 minutes into hours (2dp),,,1,2,GFRMLC1TDQ2,GFRMLC1,GFRMTDQ
Times and Timetables,Convert 135 minutes into hours,,,1,2,GFRMLC1TSQ1,GFRMLC1,GFRMTSQ
Times and Timetables,Brian rides 22km in 2 hours 33 minutes. Calculate his time in hours? ,,,1,2,GFRMLC1TSQ2,GFRMLC1,GFRMTSQ
Measurement,Convert 20000mm into m,,,1,3,GFRMLC2TDQ1,GFRMLC2,GFRMTDQ
Measurement,60 tea bags weigh 150 g. How much would 2000 tea bags weigh in kg?,,,1,3,GFRMLC2TDQ2,GFRMLC2,GFRMTDQ
Measurement,Convert 1.3 m² to cm²,,,1,4,GFRMLC2TDQ3,GFRMLC2,GFRMTDQ
Measurement,Convert 2.5km into m,,,1,3,GFRMLC2TSQ1,GFRMLC2,GFRMTSQ
Measurement,There are 350 millilitres of juice in a jug. Change 350 millilitres to litres,,,1,3,GFRMLC2TSQ2,GFRMLC2,GFRMTSQ
Measurement,Convert 2 cm² to m²,,,1,4,GFRMLC2TSQ3,GFRMLC2,GFRMTSQ
Ratio 1,Write  5p : £1 as a ratio in its simplest form.,,,1,2,GFRMLC3TDQ1,GFRMLC3,GFRMTDQ
Ratio 1,There are 50 sweets in a packet.24 of the sweets are mints. The rest of the sweets are toffees.  Write down the ratio of the number of mints to the number of toffees. Give your ratio in its simplest form,,,1,2,GFRMLC3TDQ2,GFRMLC3,GFRMTDQ
Ratio 1,John has a selection of black and red pens. 1/5 of the pens are red. Write down the ratio of black to red pens,,,1,2,GFRMLC3TDQ3,GFRMLC3,GFRMTDQ
Ratio 1,Write  40mm : 40 cm  as a ratio in its simplest form.,,,1,2,GFRMLC3TSQ1,GFRMLC3,GFRMTSQ
Ratio 1,There are 40 students on a school trip. 12 of the students are girls. The rest are boys. Find the ratio of the number of girls to the number of boys. Give your ratio in its simplest form.,,,1,2,GFRMLC3TSQ2,GFRMLC3,GFRMTSQ
Ratio 1,Simone has a selection of green and red pens. 3/5 of the pens are red. Write down the ratio of green to red pens,,,1,2,GFRMLC3TSQ3,GFRMLC3,GFRMTSQ
Ratio 2,The ratio of men to women in a sports club is 7 : 11. There are 175 men. How many women are there?,,,1,3,GFRMLC4TDQ1,GFRMLC4,GFRMTDQ
Ratio 2,A map has a scale of 1 : 20000. What distance does 8km on the map represent in map?,,,1,4,GFRMLC4TDQ2,GFRMLC4,GFRMTDQ
Ratio 2,John wants to make Pie for 4 people. He has this recipe. 2 apple and 8 ounces sauce. How much apple will John need for 10 people?,,,1,4,GFRMLC4TDQ3,GFRMLC4,GFRMTDQ
Ratio 2,Find the missing numbers in the ratios     3  :  5  : 7        27: 45 : ?,,,1,3,GFRMLC4TSQ1,GFRMLC4,GFRMTSQ
Ratio 2,A map has a scale of 1 : 100.   What distance does 2m on the map represent in map?,,,1,4,GFRMLC4TSQ2,GFRMLC4,GFRMTSQ
